nb_cluster	nb_cluster_with_poly	nb_clustered_taxid_with_poly	nb_expected_taxid	complement_clustered_taxid_with_poly	complement_expected_taxid	expected_and_clustered_intersection	Evalue	coverage	inflation	precision	sensitivity	F1_score
80623	92	2041	1217	1183	173	858	1e-05	50	1_6	0.3875338753387534	0.8322017458777885	0.528813559322034
56772	102	1050	1217	290	271	760	1e-140	30	1_4	0.5753217259651779	0.7371483996120272	0.6462585034013606
104064	97	1360	1217	560	231	800	1e-40	50	1_8	0.502828409805154	0.7759456838021338	0.6102212051868803
56905	105	997	1217	237	271	760	1e-140	30	1_6	0.5993690851735016	0.7371483996120272	0.6611570247933884
97556	92	1823	1217	980	188	843	1e-20	50	1_6	0.4191944306315266	0.8176527643064986	0.554240631163708
73355	139	1014	1217	271	288	743	1e-100	70	1_4	0.5706605222734255	0.7206595538312318	0.6369481354479211
93261	110	1346	1217	550	235	796	1e-60	60	1_4	0.5034788108791903	0.7720659553831232	0.6094946401225114
56995	108	995	1217	236	272	759	1e-140	30	1_8	0.5990528808208366	0.7361784675072744	0.660574412532637
81799	94	2004	1217	1155	182	849	1e-05	50	1_8	0.38838060384263495	0.8234723569350145	0.5278209511967672
73548	140	1011	1217	271	291	740	1e-100	70	1_6	0.5683563748079877	0.7177497575169738	0.6343763394770682
104334	97	1358	1217	560	233	798	1e-40	50	2	0.5015713387806411	0.7740058195926285	0.608695652173913
57065	108	976	1217	217	272	759	1e-140	30	2	0.6081730769230769	0.7361784675072744	0.6660816147433084
57319	117	964	1217	211	278	753	1e-140	30	3	0.606280193236715	0.7303588748787585	0.6625604927408711
98230	94	1792	1217	962	201	830	1e-20	50	1_8	0.4164576016056197	0.8050436469447139	0.548941798941799
93640	112	1311	1217	521	241	790	1e-60	60	1_6	0.509020618556701	0.7662463627546072	0.6116918312040263
73681	141	1008	1217	270	293	738	1e-100	70	1_8	0.5672559569561876	0.7158098933074685	0.6329331046312179
82730	95	1750	1217	949	230	801	1e-05	50	2	0.40454545454545454	0.7769156159068865	0.5320491531052807
57814	135	925	1217	206	312	719	1e-140	30	5	0.5812449474535166	0.6973811833171678	0.6340388007054674
105349	104	1327	1217	554	258	773	1e-40	50	3	0.48769716088328074	0.7497575169738119	0.5909785932721713
73780	141	1006	1217	268	293	738	1e-100	70	2	0.5681293302540416	0.7158098933074685	0.6334763948497855
58142	145	920	1217	205	316	715	1e-140	30	8	0.5784789644012945	0.6935014548981572	0.6307895897662109
93881	114	1306	1217	516	241	790	1e-60	60	1_8	0.5106658047834518	0.7662463627546072	0.612878200155159
74092	144	996	1217	258	293	738	1e-100	70	3	0.5725368502715283	0.7158098933074685	0.6362068965517242
98805	95	1723	1217	921	229	802	1e-20	50	2	0.4108606557377049	0.7778855480116392	0.5377137110291653
